name,latitude_deg,longitude_deg,iso_country
Minneapolis–Saint Paul International Airport / Wold–Chamberlain Field,44.880081,-93.221741,United States
Louis Armstrong New Orleans International Airport,29.993401,-90.258003,United States
San Francisco Bay Oakland International Airport,37.720085,-122.221184,United States
Will Rogers World Airport,35.393388,-97.598248,United States
Eppley Airfield,41.3032,-95.894096,United States
Ontario International Airport,34.056,-117.600998,United States
Chicago O'Hare International Airport,41.9786,-87.9048,United States
Norfolk International Airport,36.895341,-76.201,United States
Palm Beach International Airport,26.683201,-80.095596,United States
Portland International Airport,45.588699,-122.598,United States
Philadelphia International Airport,39.871899,-75.241096,United States
Phoenix Sky Harbor International Airport,33.435302,-112.005905,United States
Pittsburgh International Airport,40.491501,-80.232903,United States
Theodore Francis Green State Airport,41.725038,-71.425668,United States
Portland International Jetport,43.646198,-70.309303,United States
Raleigh Durham International Airport,35.877602,-78.787498,United States
Richmond International Airport,37.505199,-77.319702,United States
Reno Tahoe International Airport,39.4991,-119.767998,United States
Southwest Florida International Airport,26.53619956970215,-81.75520324707031,United States
San Diego International Airport,32.7336006165,-117.190002441,United States
San Antonio International Airport,29.533701,-98.469803,United States
Savannah Hilton Head International Airport,32.127602,-81.202103,United States
Louisville Muhammad Ali International Airport,38.1744,-85.736,United States
Seattle–Tacoma International Airport,47.447943,-122.310276,United States
Orlando Sanford International Airport,28.7775993347168,-81.23750305175781,United States
San Francisco International Airport,37.619806,-122.374821,United States
Norman Y. Mineta San Jose International Airport,37.362452,-121.929188,United States
Salt Lake City International Airport,40.78886,-111.979866,United States
Sacramento International Airport,38.6954,-121.591003,United States
John Wayne Orange County International Airport,33.675701,-117.867996,United States
Sarasota Bradenton International Airport,27.394631,-82.554359,United States
St. Louis Lambert International Airport,38.748697,-90.370003,United States
Syracuse Hancock International Airport,43.11119842529297,-76.1063003540039,United States
Tampa International Airport,27.9755,-82.533203,United States
Tulsa International Airport,36.19839859008789,-95.88809967041016,United States
Tirana International Airport Mother Teresa,41.4147,19.7206,Albania
Burgas Airport,42.569917,27.515173,Bulgaria
Sofia Airport,42.696357,23.417671,Bulgaria
Varna Airport,43.232101,27.8251,Bulgaria
Larnaca International Airport,34.875099,33.624901,Cyprus
Zagreb Franjo Tuđman International Airport,45.742901,16.0688,Croatia
Alicante-Elche Miguel Hernández Airport,38.2822,-0.558156,Spain
Josep Tarradellas Barcelona-El Prat Airport,41.2971,2.07846,Spain
Ibiza Airport,38.872898,1.37312,Spain
